,Saddar (Hub),II Chundrigar Road,Clifton,DHA,PECHS,Gulshan-e-Iqbal,Gulistan-e-Johar,North Nazimabad,Nazimabad,Liaquatabad,FB Area,SITE Area,Orangi Town,Baldia Town,Lyari,Malir,Korangi
Saddar (Hub),0,3,8,-1,6,-1,-1,-1,-1,7,-1,-1,-1,-1,5,-1,-1
II Chundrigar Road,3,0,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Clifton,8,9,0,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DHA,-1,-1,6,0,-1,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10
PECHS,6,-1,-1,-1,0,6,-1,-1,5,-1,-1,-1,-1,-1,-1,-1,-1
Gulshan-e-Iqbal,-1,-1,-1,11,6,0,5,-1,-1,-1,6,-1,-1,-1,-1,8,-1
Gulistan-e-Johar,-1,-1,-1,-1,-1,5,0,-1,-1,-1,-1,-1,-1,-1,-1,6,9
North Nazimabad,-1,-1,-1,-1,-1,-1,-1,0,4,4,5,-1,-1,-1,-1,-1,-1
Nazimabad,-1,-1,-1,-1,5,-1,-1,4,0,3,-1,6.5,-1,-1,-1,-1,-1
Liaquatabad,7,-1,-1,-1,-1,-1,-1,4,3,0,6,-1,-1,-1,-1,-1,-1
FB Area,-1,-1,-1,-1,-1,6,-1,5,-1,6,0,-1,-1,-1,-1,-1,-1
SITE Area,-1,-1,-1,-1,-1,-1,-1,-1,6.5,-1,-1,0,5,6,-1,-1,-1
Orangi Town,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,0,6,-1,-1,-1
Baldia Town,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,6,0,9,-1,-1
Lyari,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,0,-1,-1
Malir,-1,-1,-1,-1,-1,8,6,-1,-1,-1,-1,-1,-1,-1,-1,0,7
Korangi,-1,-1,-1,10,-1,-1,9,-1,-1,-1,-1,-1,-1,-1,-1,7,0
