,Saddar (Hub),II Chundrigar Road,Clifton,DHA,PECHS,Gulshan-e-Iqbal,Gulistan-e-Johar,North Nazimabad,Nazimabad,Liaquatabad,FB Area,SITE Area,Orangi Town,Baldia Town,Lyari,Malir,Korangi
Saddar (Hub),0,1.4,4.5,7.1,3.6,7.6,10.8,7.2,5.8,3.6,8.6,5.0,8.5,5.8,2.2,12.0,9.5
II Chundrigar Road,1.4,0,5.1,7.2,2.2,6.3,9.5,5.8,4.5,2.2,7.2,5.0,8.6,6.3,3.0,11.2,8.9
Clifton,4.5,5.1,0,3.2,6.1,8.6,11.3,10.2,9.1,7.0,11.4,9.4,12.8,9.9,6.4,10.4,7.1
DHA,7.1,7.2,3.2,0,7.3,8.2,10.3,11.0,10.2,8.5,12.0,12.0,15.6,12.8,9.2,8.1,4.5
PECHS,3.6,2.2,6.1,7.3,0,4.1,7.3,4.1,3.0,1.4,5.4,6.3,9.8,8.1,5.1,9.5,7.8
Gulshan-e-Iqbal,7.6,6.3,8.6,8.2,4.1,0,3.2,4.2,4.5,5.0,4.5,10.0,13.3,12.0,9.2,6.4,6.3
Gulistan-e-Johar,10.8,9.5,11.3,10.3,7.3,3.2,0,6.3,7.1,8.1,5.8,13.0,16.1,15.0,12.4,5.4,7.1
North Nazimabad,7.2,5.8,10.2,11.0,4.1,4.2,6.3,0,1.4,3.6,1.4,7.3,10.0,9.5,7.8,10.6,10.3
Nazimabad,5.8,4.5,9.1,10.2,3.0,4.5,7.1,1.4,0,2.2,2.8,6.1,9.1,8.2,6.4,10.8,10.0
Liaquatabad,3.6,2.2,7.0,8.5,1.4,5.0,8.1,3.6,2.2,0,5.0,5.1,8.5,7.0,4.5,10.8,9.2
FB Area,8.6,7.2,11.4,12.0,5.4,4.5,5.8,1.4,2.8,5.0,0,8.5,11.0,10.8,9.2,10.6,10.8
SITE Area,5.0,5.0,9.4,12.0,6.3,10.0,13.0,7.3,6.1,5.1,8.5,0,3.6,2.2,3.2,15.8,13.9
Orangi Town,8.5,8.6,12.8,15.6,9.8,13.3,16.1,10.0,9.1,8.5,11.0,3.6,0,3.2,6.4,19.3,17.5
Baldia Town,5.8,6.3,9.9,12.8,8.1,12.0,15.0,9.5,8.2,7.0,10.8,2.2,3.2,0,3.6,17.5,15.2
Lyari,2.2,3.0,6.4,9.2,5.1,9.2,12.4,7.8,6.4,4.5,9.2,3.2,6.4,3.6,0,14.1,11.7
Malir,12.0,11.2,10.4,8.1,9.5,6.4,5.4,10.6,10.8,10.8,10.6,15.8,19.3,17.5,14.1,0,3.6
Korangi,9.5,8.9,7.1,4.5,7.8,6.3,7.1,10.3,10.0,9.2,10.8,13.9,17.5,15.2,11.7,3.6,0
